COUNTRY,POPULATION,ridge_HG_per_100k_model_pred,ridge_HG_per_100k_index_0_100
Afghanistan,"43,844,111",0.4410053586442042,14.842701875926142
Albania,"2,771,508",2.077638744195563,25.39466703813322
Algeria,"47,435,312",0.336879015371383,14.17136182116325
Angola,"39,040,039",-0.728327451154891,7.303591907282174
Antigua and Barbuda,"94,209",3.250994366896765,32.959713531090976
Argentina,"45,851,378",-0.10212259360079257,11.340960263353963
Armenia,"2,952,365",3.1052323962152824,32.0199335839237
Aruba,"108,147",3.489834935667365,34.499604739004994
Australia,"26,974,026",7.98495398230194,63.4812569518995
Austria,"9,113,574",7.749365278247334,61.96233168754885
Azerbaijan,"10,397,713",1.1729744572559175,19.561970403960544
Bahamas,"403,033",8.702637018692743,68.10841808912116
Bahrain,"1,643,332",5.486797077302251,47.37473922838177
Bangladesh,"175,686,899",-1.1057532318366685,4.870191901983339
Barbados,"282,623",5.712536734417062,48.83016413821984
Belarus,"8,997,603",0.26033875611763513,13.677879190121992
Belgium,"11,758,603",6.808632564662897,55.897088910317215
Benin,"14,814,460",1.6515247356210436,22.647356483856598
Bermuda,"64,555",10.862809847717577,82.03583068955358
Bhutan,"796,682",2.118559552618163,25.65849823496486
Bolivia,"12,581,843",0.0852276027281369,12.54887448669087
Bosnia and Herzegovina,"3,140,095",1.556760236485102,22.036375611582876
Botswana,"2,562,122",1.7663362929972017,23.387587964130248
Brazil,"212,812,405",-0.34366291611162847,9.783662770278582
Brunei,"466,330",3.9810151858470264,37.666420798127426
Bulgaria,"6,714,560",3.3568858500507988,33.642434078698145
Burkina Faso,"24,074,580",-0.06294467719376362,11.593554407347648
Burundi,"14,390,003",-0.2901029171611622,10.128983382703199
Cambodia,"17,847,982",0.5559408927529734,15.583732678867278
Cameroon,"29,879,337",-0.9558343300551724,5.8367730818129075
Canada,"40,126,723",8.117747419811943,64.3374240927789
Cayman Islands,"75,844",10.62197147658811,80.48305892996693
Central African Republic,"5,513,282",0.6416977210636916,16.136637851610793
Chad,"21,003,705",-0.228269170717879,10.527647826480548
Chile,"19,859,921",3.15715015396461,32.354666075578365
China,"1,416,096,094",1.162358596728868,19.493526125946172
Colombia,"53,425,635",0.3906947260575264,14.518331099287987
Congo,"6,484,437",-0.7297302215991732,7.294547740769798
Costa Rica,"5,152,950",3.054296412917474,31.691530945919244
Croatia,"3,848,160",3.326749752329956,33.44813579779875
Cuba,"10,937,203",-0.2523524858887667,10.372374015670408
Cyprus,"1,370,754",6.151360415498111,51.65941853080256
Czech Republic,"10,609,239",5.187177958443767,45.44298680781092
Denmark,"6,002,507",10.813446477151142,81.71756725248538
Djibouti,"1,184,076",0.377909456127695,14.435899857153975
Dominican Republic,"11,520,487",1.763758219852211,23.370966197611413
Ecuador,"18,289,896",0.6187222315343752,15.988506591892948
Egypt,"118,365,995",-0.7998395907444715,6.8425273754903255
El Salvador,"6,365,503",0.7260011771055628,16.680172609645684
Equatorial Guinea,"1,938,431",0.0021188747406184483,12.013042570916891
Eritrea,"3,607,003",1.1490424921546405,19.407672401584918
Estonia,"1,344,232",9.773526873573092,75.01283085560743
Eswatini,"1,256,174",-0.047611147271292786,11.69241519986476
Ethiopia,"135,472,051",-0.8626827179606749,6.437355090161362
Fiji,"933,154",2.867060082357668,30.48435085622495
Finland,"5,623,329",10.850037278997386,81.95348133669472
France,"66,650,804",4.205330604453976,39.11266312911167
Gabon,"2,593,130",-0.24378607215685077,10.42760477172258
Gambia,"2,822,093",0.09546951651021507,12.614907795296762
Georgia,"3,806,671",3.3963076529787717,33.89660064697161
Germany,"84,075,075",5.762541110528764,49.15256036901091
Ghana,"35,064,272",1.1627043434346616,19.495755279540795
Greece,"9,938,844",3.0326486282108864,31.55195987760335
Guatemala,"18,687,881",0.7535515216662954,16.85779960820145
Guinea,"15,099,727",-0.24989008158644443,10.388250023481783
Guinea-Bissau,"2,249,515",1.3199759772580637,20.509742172243012
Haiti,"11,906,095",-1.6645522239257837,1.2674134488147617
Honduras,"11,005,850",-0.29964640822299726,10.067453057036285
Hungary,"9,632,287",5.146837277892604,45.182895904403004
Iceland,"398,266",11.369099547347206,85.30006281364432
India,"1,463,865,525",-0.6056982429785411,8.094226599186593
Indonesia,"285,721,236",-0.15586338336471517,10.994474027410922
Iran,"92,417,681",1.1453240617585374,19.38369834096501
Iraq,"47,020,774",1.0347378169039785,18.670708973018385
Ireland,"5,308,039",9.32798088917489,72.14023535130195
Isle of Man,"84,118",5.041776727461322,44.50553267946811
Israel,"9,517,181",13.649092666625613,100.0
Italy,"59,146,260",1.9647355005682579,24.66673914421815
Ivory Coast,"32,711,547",1.3653588777745316,20.802342084622502
Jamaica,"2,837,077",1.8650287398398782,24.023893730620564
Japan,"123,103,479",4.631914788034784,41.86300507107127
Jordan,"11,520,684",1.1366109788976757,19.327521956189464
Kazakhstan,"20,843,754",1.3045367807144772,20.410200108944878
Kenya,"57,532,493",-0.11796766559816385,11.23880137475681
Kosovo,"1,600,000",2.5875248888093845,28.682086738938473
Kuwait,"5,026,078",3.856036845306971,36.860640403415
Kyrgyzstan,"7,295,034",0.31265751173366496,14.01519705951422
Laos,"7,873,046",0.6050728373125036,15.900504029079594
Latvia,"1,853,559",6.001375026778942,50.69240868572867
Lebanon,"5,849,421",0.6991339399640255,16.5069498507645
Lesotho,"2,363,325",-0.044425921513559175,11.712951498052302
Liberia,"5,731,206",0.08861766239808855,12.570731422917966
Libya,"7,458,555",-0.6776035228811903,7.630627350136756
Lithuania,"2,830,144",7.257773760057647,58.79286403537422
Luxembourg,"680,453",9.438834777451197,72.85495031282811
Madagascar,"32,740,678",0.6392614140007131,16.120930102105042
Malawi,"22,216,120",-0.7408058663252075,7.223139068351251
Malaysia,"35,977,838",3.1415464508956235,32.2540633794346
Maldives,"529,676",2.8645784247319734,30.468350715300275
Mali,"25,198,821",0.5164931096443097,15.329398607007509
Malta,"545,405",5.282986190262733,46.06069700077867
Mauritania,"5,315,065",-0.654786843517579,7.777734703492478
Mauritius,"1,268,280",2.7134824097480177,29.494180262507086
Mexico,"131,946,900",0.44902965085888624,14.894437379214907
Micronesia,"113,683",2.34068864069604,27.090644505231097
Moldova,"2,996,106",2.283711901841243,26.723294939494696
Mongolia,"3,517,100",-0.13627788939452845,11.120748764247239
Montenegro,"632,729",2.805179512665764,30.085384526091996
Morocco,"38,430,770",0.8848514171964084,17.704337345770842
Mozambique,"35,631,653",0.3430295398751353,14.21101646884785
Myanmar,"54,850,648",-0.8155253516028576,6.741395623210544
Namibia,"3,092,816",1.0458662547104511,18.74245802144937
Nepal,"29,618,118",-0.8237691942292953,6.688244599306933
Netherlands,"18,346,819",11.04808699850637,83.23037924131597
New Zealand,"5,251,899",8.096539134289094,64.20068663406462
Nicaragua,"7,007,502",-1.3568133761850487,3.2515166872587415
Niger,"27,917,831",-0.30117622009264133,10.057589808677964
Nigeria,"237,527,782",-0.7893390075302551,6.910228419131166
North Korea,"26,571,036",1.0678893070064228,18.884448575133614
North Macedonia,"1,813,791",1.5940515916205402,22.27680641527693
Norway,"5,623,071",9.274609423618678,71.79613028160404
Oman,"5,494,691",4.57733863061469,41.51113291884217
Pakistan,"255,219,554",-1.487354283255168,2.409872421776058
Panama,"4,571,189",1.8703075961113127,24.057928419124554
Papua New Guinea,"10,762,817",0.6076352830744756,15.917025040229113
Paraguay,"7,013,078",1.6744650161715837,22.79526073860147
Peru,"34,576,665",1.4263988118724942,21.1958885341764
Philippines,"116,786,962",1.5705939683459462,22.125566665576784
Poland,"38,140,910",4.636182172559924,41.890518436764864
Portugal,"10,411,834",4.622327702500655,41.80119367613315
Qatar,"3,115,889",6.865067650116288,56.26094624140163
Republic of the Congo,"112,832,473",-0.16163974452542673,10.9572317456206
Romania,"18,908,650",2.341236147855562,27.094174481170935
Russia,"143,997,393",0.9003180256052916,17.804056143241816
Rwanda,"14,569,341",0.002118236156727793,12.013038453736446
Samoa,"219,306",2.1687848283412223,25.982318685146762
Saudi Arabia,"34,566,328",2.77607738667362,29.89775263349694
Senegal,"18,931,966",0.7188937146823657,16.634348238382472
Serbia,"6,689,039",3.3448772699196807,33.56501043555987
Seychelles,"132,779",2.9234870226812952,30.848155672722854
Sierra Leone,"8,819,794",0.1688886725616321,13.08826754937034
Singapore,"5,870,750",10.926308495149318,82.4452293499147
Slovakia,"5,474,881",3.355992618367035,33.63667509217614
Slovenia,"2,117,072",5.108892964139454,44.938255241221
Solomon Islands,"838,645",1.276764073014357,20.231139455105712
Somalia,"19,654,739",-0.9919423702861545,5.603971535689896
South Africa,"64,747,319",1.7851107683951226,23.50863377199811
South Korea,"51,667,029",4.5180389900569935,41.12880676881962
South Sudan,"12,188,788",0.11686014533219025,12.752820886963987
Spain,"47,889,958",3.2576118286130553,33.00237869123557
Sri Lanka,"23,229,470",-0.29783662104519104,10.079121407089396
Sudan,"51,662,147",-0.8319939116122392,6.635216882739496
Suriname,"639,850",0.6278929013249686,16.047633204486058
Sweden,"10,656,633",8.84467150597344,69.02416560768529
Switzerland,"8,967,407",11.08280205330436,83.45419970842019
Syria,"25,620,427",-0.1311159880009236,11.154029402511695
Taiwan,"23,112,793",3.645352469723049,35.50228231845271
Tajikistan,"10,786,734",-0.47525196065644915,8.935260784822756
Tanzania,"70,545,865",0.37466719185409536,14.414995811102044
Thailand,"71,619,863",2.495658341845428,28.089790008532127
Timor-Leste,"1,418,517",2.153593187784833,25.884372704499548
Togo,"9,721,608",0.06381071602879462,12.410792101026798
Tonga,"103,742",1.7609158281333754,23.352640274005502
Trinidad and Tobago,"1,511,155",1.1237230480269702,19.244428821977984
Tunisia,"12,348,573",1.4374871061592178,21.267378762870713
Turkey,"87,685,426",0.2654531197570562,13.71085333535602
Turkmenistan,"7,618,847",1.4943925975755974,21.634268970699157
Uganda,"51,384,894",-0.6824595048289157,7.599319084771361
Ukraine,"38,980,376",0.04192402424677821,12.269680712710596
United Arab Emirates,"11,346,000",7.069637481006078,57.57988165347649
United Kingdom,"69,551,332",9.751696940881997,74.8720854136023
United States,"347,275,807",10.356810314076771,78.77346937014784
Uruguay,"3,384,688",3.607760771885134,35.25991509713376
Uzbekistan,"37,053,428",0.6183826261184939,15.986317033407271
Vanuatu,"335,169",3.2441413101719023,32.91552940503454
Venezuela,"28,516,896",-1.8611308831367057,0.0
Vietnam,"101,598,527",2.09436958324212,25.50253678606354
Yemen,"41,773,878",-0.2781264943073385,10.206199696287586
Zambia,"21,913,874",-0.5996267169055582,8.133371915522643
Zimbabwe,"16,950,795",-0.5627878464184337,8.37088538764593
